id,date,ret_eom,gvkey,iid,excntry,stock_ret,year,month,char_date,char_eom,me,prc,market_equity,div12m_me,chcsho_12m,eqnpo_12m,ret_1_0,ret_3_1,ret_6_1,ret_9_1,ret_12_1,ret_12_7,ret_60_12,seas_1_1an,seas_1_1na,seas_2_5an,seas_2_5na,at_gr1,sale_gr1,capx_gr1,inv_gr1,debt_gr3,sale_gr3,capx_gr3,inv_gr1a,lti_gr1a,sti_gr1a,coa_gr1a,col_gr1a,cowc_gr1a,ncoa_gr1a,ncol_gr1a,nncoa_gr1a,fnl_gr1a,nfna_gr1a,tax_gr1a,be_gr1a,ebit_sale,gp_at,cop_at,ope_be,ni_be,ebit_bev,netis_at,eqnetis_at,dbnetis_at,oaccruals_at,oaccruals_ni,taccruals_at,taccruals_ni,noa_at,opex_at,at_turnover,sale_bev,rd_sale,cash_at,sale_emp_gr1,emp_gr1,ni_inc8q,noa_gr1a,ppeinv_gr1a,lnoa_gr1a,capx_gr2,saleq_gr1,niq_be,niq_at,niq_be_chg1,niq_at_chg1,rd5_at,dsale_dinv,dsale_drec,dgp_dsale,dsale_dsga,saleq_su,niq_su,capex_abn,op_atl1,gp_atl1,ope_bel1,cop_atl1,pi_nix,ocf_at,op_at,ocf_at_chg1,at_be,ocfq_saleq_std,tangibility,earnings_variability,aliq_at,f_score,o_score,z_score,intrinsic_value,kz_index,ni_ar1,ni_ivol,at_me,be_me,debt_me,netdebt_me,sale_me,ni_me,ocf_me,fcf_me,eqpo_me,eqnpo_me,rd_me,bev_mev,ebitda_mev,aliq_mat,eq_dur,beta_60m,resff3_12_1,resff3_6_1,mispricing_mgmt,mispricing_perf,zero_trades_21d,dolvol_126d,dolvol_var_126d,turnover_126d,turnover_var_126d,zero_trades_126d,zero_trades_252d,bidaskhl_21d,ivol_capm_21d,iskew_capm_21d,coskew_21d,beta_dimson_21d,ivol_ff3_21d,iskew_ff3_21d,ivol_hxz4_21d,iskew_hxz4_21d,rmax5_21d,rmax1_21d,rvol_21d,rskew_21d,ami_126d,ivol_capm_252d,betadown_252d,prc_highprc_252d,corr_1260d,betabab_1260d,rmax5_rvol_21d,age,qmj,qmj_prof,qmj_growth,qmj_safety,netdebt_me_lead4,rd_sale_lead4,ebit_bev_lead4,ebit_sale_lead4,ni_be_lead4,niq_be_lead4,ocf_at_lead4,gp_at_lead4,niq_at_lead4,op_at_lead4,rd_me_lead4,be_me_lead4,div12m_me_lead4,ni_me_lead4,sale_me_lead4
comp_001081_01C,2005-02-28,2005-02-28,1081,01C,CAN,-0.143457,2005,2,2005-01-31,2005-01-31,2398.1522845,5.4481792118,2398.1522845,0.0139950778,0.0003977273,0.0109740527,-0.207906057,0.1536392177,0.053556593,-0.006092126,-0.090373596,-0.104219538,-0.317398959,0.0342549648,-0.028416539,-0.088487981,0.0050696559,0.0494291583,0.0865793728,0.6875570568,0.0247445557,0.063371299,0.0038329305,-0.201533428,0.0018351084,0.0022235799,0.0,0.0206699048,0.0034904207,0.0171794841,0.0187942656,0.0118812008,0.0069130649,0.0314987139,-0.031498714,0.0025743212,0.0296065546,0.006310043,0.0926377521,0.0683170853,0.0608249549,-0.020636716,0.0041076969,-0.071610104,8.0671698e-06,-0.071618171,-0.008582936,-50.91708718,-0.04008165,-237.7788752,0.8304196712,0.4553884137,0.5275465468,0.6509776399,,0.0180045757,,,0.0,0.0252834234,0.1884008843,0.0211485423,0.8063662494,0.1166428499,0.0510406322,0.0184825418,0.0692979407,0.0253623909,,0.0409508077,-0.02876649,-0.241906568,0.2860379295,0.2507899807,1.860809335,0.1561378044,0.062686758,0.0972167582,0.0659704175,0.0716939413,0.1173184358,0.0007494823,0.0597341493,-0.021258883,2.6344339623,0.1363704338,0.5664727541,0.414882589,0.4719978056,4.0,-1.410147063,0.9073008904,1219.1440185,1.795770855,-0.747150173,0.0139344814,3.3054733933,1.2547186381,1.6861103711,1.626596725,1.7027239262,-0.025893273,0.0024773938,-0.112447138,0.0247997409,0.0193035178,,0.9958289985,0.0751731849,0.436383102,15.260681583,0.650452483,-0.205450924,0.0346753096,0.5576522971,0.4353624082,0.00281518,15472216.8044077,0.69140639,0.00576827,0.73276877,0.00201234,0.00230063,0.00467092,0.02014611,0.48818849,-0.1028657,-0.43262385,0.01815228,1.25148176,0.01912277,0.59151441,0.01572654,0.04564368,0.02151962,0.80734633,0.00137322,0.01721031,0.77931513,0.67220436,0.38778102,0.84586451,0.8055802728,541,-1.508293738,-0.994164438,-0.832047755,-1.017248063,,,,,,,,,,,,,,,
comp_001096_01C,2005-02-28,2005-02-28,1096,01C,CAN,0.028077,2005,2,2005-01-31,2005-01-31,301.11642578,21.389148017,301.11642578,0.0203931789,-0.016830784,0.0400180301,-0.017738442,0.0829596512,0.2872117541,0.3246987888,0.2621292575,-0.00735885,1.2745519817,0.0371576053,0.0174306886,0.0014891471,,0.1454025817,0.1464002789,,0.0624889496,0.7683227157,0.3998882177,,0.0022571701,0.0054784031,,0.0126478001,0.0007673945,0.0118804056,0.1125553977,0.0332137642,0.0793416335,0.0522349835,-0.052234983,0.0142545897,0.043771725,0.3382045498,0.0895044743,0.1146568705,0.1198956961,-0.009664613,0.0561288602,-0.104357499,-0.000427966,-0.103929534,-0.046264945,-9.369915489,-0.098499929,-19.94892683,1.0393698247,0.0822059083,0.1608044558,0.1659612808,,0.0036517678,,,0.0,0.1044859591,0.1599150695,0.0651021214,,0.1164520279,0.0070616771,0.0016930639,-0.011413028,-0.002407521,,0.0422742207,-0.303871275,0.0397691982,-0.05025877,-0.45192451,-0.162790698,,0.0783362877,0.102518656,0.1468940448,0.1313282755,,0.0439632645,0.0683919252,0.0204992598,4.1989369253,0.2302388707,0.5191810278,0.6085437614,0.5931114593,3.0,-0.456682598,0.676484744,,2.4307285415,0.3764737294,0.00719952,6.350005557,1.512288865,3.6180794583,3.5948907123,0.9562970796,-0.014615686,0.2791669736,-0.207007892,0.0359038624,0.0234771486,,1.2540384872,0.094515655,0.6385854214,14.476272416,0.4236078028,-0.030315698,0.4604797839,0.5729490505,0.3940429141,4.20693982,170833.44065859,2.43260837,0.00059515,2.34691166,2.35978701,2.50812962,0.00800621,0.01208059,-0.73245457,-0.16638766,1.4545927,0.01263847,-0.39042649,0.01121925,-0.29046043,0.0153985,0.02575826,0.01430048,-0.43611989,1.11952409,0.01546668,0.44516186,0.93766374,0.24514793,0.4568716506,0.9232137631,517,-0.706080365,-0.247574023,-0.155801771,-0.485635375,,,,,,,,,,,,,,,
comp_001117_02,2005-02-28,2005-02-28,1117,02,USA,-0.168627,2005,2,2005-01-31,2005-01-31,32.8083,2.55,32.8083,,0.0042931855,-0.004283996,0.1333333333,,0.0975609756,-0.134615385,0.125,0.23,-0.68627451,0.375,,-0.112460492,,0.2281665472,0.3011831754,1.7714285714,-0.229326247,-0.57122093,-0.065322832,1.9693877551,-0.095093019,-0.003352686,0.0,-0.06449731,-0.04894017,-0.01555714,-0.033966423,2.8786490000000005e-17,-0.033966423,-0.126985156,0.1269851559,0.0008426784,0.3617035068,0.1203522971,0.6685032735,0.2750372723,0.2657653486,0.1920548199,0.2968181284,0.1685356842,0.219031568,-0.050495884,-0.067868024,-0.504821601,0.0591171323,0.4397299904,0.6780511106,1.1544046153,1.5010004288,2.4662439826,0.0737530414,0.3391456537,0.3452676535,-0.085714286,4.0,-0.060823183,-0.155102676,-0.020330141,0.6534090909,0.0372,0.0485700436,0.0327322619,-0.014078477,0.0101852241,0.37034917,0.4975089243,-0.367035417,0.529317979,-0.001922957,0.1287357585,-0.077607805,1.0816710743,0.2544383409,0.8210333572,0.5499137766,0.3377915771,1.006268081,0.2023076424,0.2071692487,0.3002297824,1.4285581998,0.1866466282,0.9214127075,0.9606086404,0.9921980734,8.0,-2.335932523,4.253168789,26.195470566,-5.073457229,-1.336582227,0.0956032299,0.4702163782,0.3291545127,0.0899162712,-0.06955557,0.6402343309,0.0632157107,0.0951283669,0.0862586602,0.0,-0.102992231,0.0443485338,0.2790053167,0.1046966059,0.3780791166,15.844658707,1.6361923485,-0.155817454,-0.501033538,0.5926804834,0.697925757,1.05688572,59343.47094488,1.5904687,0.00227075,1.49868385,0.50055492,0.25281865,0.01858477,0.02454965,1.07347366,0.35959746,0.79264264,0.02509958,0.8222105,0.02447487,1.16147218,0.04505132,0.06222222,0.02511827,1.1343713,3.17875549,0.04983259,1.07356475,0.70833333,0.12418751,0.8633343744,0.8981134217,373,1.3444576267,1.6011082373,1.6120671901,-0.566631115,,,,,,,,,,,,,,,
comp_001166_01W,2005-02-28,2005-02-28,1166,01W,NLD,0.086271,2005,2,2005-01-31,2005-01-31,911.41906324,17.321446932,911.41906324,,0.0527580774,-0.051413461,0.0492317958,0.1422315845,-0.000549202,-0.204236541,-0.333372162,-0.165290263,-0.018936264,-0.035449631,-0.023832585,0.0277075497,0.0228446447,0.234042533,0.3460495958,0.0858163481,-0.058612559,2.0945318346,-0.165150112,-0.43446073,-0.013493416,,-6.443906e-07,0.0422132761,0.0617067529,-0.019493477,0.0302194933,0.0012869405,0.0289325528,0.1265680087,-0.151700409,0.0120224609,-0.008119265,0.035533078,0.3505652393,0.3347758526,0.2002989646,-0.135318126,0.0582509723,0.1344435812,0.0061731165,0.1282704647,-0.135246511,-3.101207559,-0.286946921,-6.579703615,0.6515086767,0.7835430005,0.9561567866,1.6393449589,0.1358606454,0.2007769432,0.1055607134,0.1961885064,,0.0116482213,0.0098328543,-0.00209902,-0.405171196,,0.0141612771,0.0047224314,,,0.2993382299,0.4340436108,0.0266298878,-0.147244029,-0.196499649,,,-0.421220111,0.2462276936,0.4326124159,0.1953768631,0.4131276411,,0.0916355925,0.1995293412,0.0665683361,2.9227898913,0.0963660726,0.7557157651,0.8773634191,0.8604144733,4.0,-1.330108662,2.8542095362,,0.5154187468,0.2704377295,0.0679095772,1.070929922,0.3664067421,0.2908405229,0.0758224868,0.8042173239,-0.04052362,0.0851485372,0.0435760032,0.0,-0.00573611,0.1092614847,0.525696983,0.0709679485,0.3591284349,19.316592795,1.9298499194,-0.876751476,-0.943309376,0.404722609,0.241503268,0.00186061,5289731.94893546,0.66519153,0.00695893,0.66250005,0.00164625,0.00161969,0.00523907,0.01804819,-0.08801893,-0.37143379,2.54380721,0.01874249,-0.15550651,0.01654543,-0.54772068,0.03089249,0.04842775,0.0225028,0.09991734,0.00360008,0.0186993,1.78100039,0.67654461,0.56089528,1.560201832,1.3428136077,289,-1.355528612,-0.904719166,-0.999531199,-1.231686781,,,,,,,,,,,,,,,
comp_001186_01C,2005-02-28,2005-02-28,1186,01C,CAN,0.149056,2005,2,2005-01-31,2005-01-31,1099.7537891,12.776989174,1099.7537891,0.0022842225,0.0197376995,-0.017374353,-0.07119651,-0.108244858,0.0402888315,0.1353394048,0.0890433048,0.0480401891,0.9918661432,0.072512692,-0.000469927,0.0441476185,,0.1583334035,0.5787790174,0.0925312558,0.2687986171,-0.248181252,0.898869567,-0.017679628,0.005428182,0.0043355346,-0.002589607,0.049675429,0.0141057099,0.0355697191,0.0790606278,0.0370649418,0.041995686,0.2090839143,-0.209083914,-0.00157522,-0.048882728,0.2420710146,0.1133882066,0.1106522982,0.1146616541,0.0693029115,0.0943908943,0.0329952598,0.0329952598,0.0,-0.015241672,-0.302363159,-0.224325586,-4.45015437,0.7954628545,0.1723665972,0.2874211205,0.3899305931,,0.1750370533,,,2.0,0.0898465997,0.100165542,0.0661307596,-0.228886108,0.9314147716,0.017314796,0.0162252974,0.0394985573,0.0366027673,,0.1689639289,-0.515110725,1.5402169679,0.7547322679,2.3118131318,2.1197585094,-0.476412008,0.1105173155,0.1313413473,0.1074410517,0.1281722532,0.9685489223,0.0656501673,0.0954106263,0.0666795754,1.3748260278,0.2265139951,0.6734619252,0.7917109203,0.7141269828,6.0,-3.407210463,3.6007316421,267.15433715,0.5569504012,-0.339595701,0.035116701,0.6251608376,0.4547199609,0.130711075,0.0212847641,0.1674038333,0.0315134172,0.0410419136,-0.001548528,0.0022550502,-0.018372294,,0.4203695359,0.0584038743,0.3731067287,17.956128156,0.2200410981,0.156063546,-0.417374029,0.5007838517,0.560715575,0.00327269,4953974.57924084,0.70251588,0.00410823,0.67480655,0.00282432,0.00317255,0.00459815,0.01171626,-0.1070803,-0.48550976,1.10662245,0.01007411,-0.46131336,0.00886875,-0.45277963,0.01587132,0.02558126,0.01701461,-0.71196778,0.00406788,0.01560226,1.32621529,0.77455743,0.17488761,0.3990601965,0.7771831734,385,1.1237617083,0.1547337646,1.1966901968,0.9396613462,,,,,,,,,,,,,,,
comp_001243_01C,2005-02-28,2005-02-28,1243,01C,CAN,0.006239,2005,2,2005-01-31,2005-01-31,14740.873131,39.945242843,14740.873131,0.014943759,0.0215082338,0.1010370104,-0.090428795,0.0626927019,0.2446332568,0.2341776462,0.1675744525,-0.025716191,0.179796232,0.1096464566,-0.001472705,-0.015248516,0.0097301568,0.7459173084,0.6571903826,0.3020833333,0.7693396226,0.8983688833,0.7162320883,-0.096385542,0.0510229619,0.0046625153,0.0,0.1472189201,0.1058937621,0.041325158,0.269880498,0.0912219233,0.1786585747,0.1608896953,-0.160889695,-0.004504786,0.064944003,0.0645131855,0.1322655321,0.1336732779,0.1937788987,0.0604455654,0.0717475137,-0.037602453,0.0024400926,-0.040042545,-0.044609898,-1.90896921,-0.205499593,-8.793842035,1.0764105085,0.6034536695,0.8719244157,1.1121372032,0.0099917876,0.0139836076,0.1290960775,-0.02020202,3.0,0.3840734065,0.2426129226,0.2005967181,0.3957816377,0.7909064582,0.0147312198,0.0054122488,0.0018534548,-0.00137372,0.0143339799,-0.112495101,-0.658333482,-0.122194086,-0.439415858,1.5727864693,-0.258558236,-0.326575365,0.1554972964,0.2309246819,0.2347489561,0.2333824895,1.327978581,0.0671025465,0.0890633798,-0.027168031,2.6873476251,0.0470647874,0.5507159795,2.7700351793,0.8233655579,5.0,-4.388893662,1.7033330273,6600.2097366,0.709701236,0.324206543,0.0242600033,2.1685282627,0.8069399889,0.6158386901,0.5855148419,1.4868861434,0.0487759438,0.1455137685,0.0691953584,0.0149244891,0.0096330793,0.0148566505,0.8432357941,0.1124428489,0.6321780915,17.001019119,0.8223556499,-0.085452348,0.1369517004,0.4479144198,0.5836252358,0.00354535,47158158.1099306,0.49069947,0.00281632,0.49565924,0.00385689,0.00379688,0.00593583,0.01670506,-2.3227375,0.23168886,1.66693662,0.01430618,-1.23162533,0.01781004,-2.08355955,0.01513036,0.0177056,0.01931092,-1.35534468,0.00028912,0.01280341,1.25980948,0.76402022,0.47451101,0.9080969194,0.883391099,661,-0.719340091,-0.170207141,-0.825417892,0.0775867167,,,,,,,,,,,,,,,
comp_001262_01C,2005-02-28,2005-02-28,1262,01C,CAN,0.11212,2005,2,2005-01-31,2005-01-31,233.9726616,60.131755745,233.9726616,0.0127731402,0.0,0.014970475,0.0099577305,0.026113436,0.1058455192,0.3793612733,0.3405287468,,1.6429372327,0.0526806329,,0.0415849631,,0.0768339402,0.597229085,1.7010015923,0.0782900529,-0.068828812,0.6208094789,7.4503424573,0.0009185214,-0.000148872,0.0050230622,0.0401983006,-0.023529777,0.0637280773,0.0945709355,0.023301725,0.0712692105,0.002565357,-0.002565357,0.0274296343,0.0907501351,0.0991537631,0.2203082967,0.1937086154,0.1787769882,0.0513804466,0.1369404591,-0.020617253,0.0,-0.020617253,-0.027981898,-0.643945638,-0.030547255,-0.702982036,0.7920031695,0.8500558673,1.0533621795,1.381091901,,0.0546623465,,,0.0,0.1453696614,0.3353355884,0.0537387993,5.3530129048,0.6827736903,0.0187460723,0.0150722197,-0.007533282,-0.00517503,,0.5659421415,0.0858799092,-0.113914008,-0.141732573,2.0320658835,-0.358755487,1.853701337,0.1784601539,0.2372354511,0.2199174166,0.2085920115,2.2016841126,0.0689934427,0.1657267172,-0.002939931,1.2528288577,0.3001970758,1.1769791097,0.8156432316,0.6174599205,7.0,-3.716049006,3.9908353832,113.4691456,-0.231049319,0.3711810579,0.016552839,1.3196634781,1.0533469675,0.1453458386,0.0732099363,1.3404911786,0.0541214376,0.0910481266,-0.07712108,0.0131655648,0.0131655648,,0.9043919686,0.2037844495,0.7264247232,16.368129778,0.4096829796,-0.1351336,-1.000720968,0.5659411088,0.6942617143,8.40904665,19883.7702076,1.79455479,8.899e-05,1.77495144,10.42544006,9.84263789,0.00627869,0.01453299,0.07627268,0.8568783,1.00888205,0.01475341,0.08129744,0.01492033,0.05579466,0.02117647,0.03305034,0.01769382,-0.26574627,0.85142699,0.01686402,0.3262453,0.99139376,0.25875275,0.530195776,1.177144596,541,0.5867428389,0.0812352264,0.0629836946,1.0603517944,,,,,,,,,,,,,,,
comp_001263_04C,2005-02-28,2005-02-28,1263,04C,CAN,0.453606,2005,2,2005-01-31,2005-01-31,654.9922119,21.83307373,654.9922119,,0.25,-0.223143551,-0.10514511,0.4512363042,1.5919463735,2.4231995007,3.1529144925,0.3948691095,,0.1656242815,0.1319284454,,,0.4774848299,0.4634357768,0.2345224372,0.1925054784,0.3595542459,1.0209353275,0.6727264854,0.0237594821,0.0,0.0,0.1405062835,0.0187671147,0.1217391688,0.0103089339,-0.000444826,0.0107537601,-0.011285189,0.0112851893,0.0932688438,0.3394620627,0.2423808671,0.3327078662,0.1951012474,0.4986946975,0.2798785681,0.5404512474,0.050483612,0.0579227224,-0.00743911,0.1056939694,0.6589934176,0.1169791587,0.7293556676,0.7225586924,0.7896611394,1.3006196481,2.2297603512,,0.1724920241,,,2.0,0.1957562925,0.1555626294,0.021164329,1.6400146429,1.2567702095,0.208846252,0.1006395612,0.2428901772,0.1125979248,,0.4058158012,-0.644994723,3.5040262858,0.3715147902,5.1758717052,2.7185420721,-0.025974423,0.4444203697,0.4915708252,1.2233950658,0.2882591333,1.6215778609,0.0546930186,0.3007952167,-0.05242196,1.7450204132,0.1205808589,0.6000847953,3.1828758967,1.0026313662,7.0,-4.985183363,3.4545819954,2641.4418128,-0.187975158,0.4920823763,0.1327596555,1.7017390165,0.9751971975,0.1902617816,-0.103274626,1.855672127,0.2729367953,0.0930732438,0.0420216007,0.0,-0.098569357,,0.9280761173,0.5708268898,1.1911046231,3.8419310359,,0.2313267874,0.4440705269,0.3348470944,0.9366832731,0.0009012,11573998.5011312,0.79731598,0.02192301,0.79785689,0.00034239,0.0005223,0.01196333,0.01884074,0.53891746,-0.17550592,1.88306554,0.01925478,0.62365973,0.0187873,0.43463244,0.02252341,0.04884502,0.02368338,-0.02043559,0.00322741,0.02465769,1.56507191,0.86706893,,,0.8133029977,541,1.2430992349,0.8432990171,1.4353652499,0.3045997024,,,,,,,,,,,,,,,
comp_001491_01W,2005-02-28,2005-02-28,1491,01W,ISR,0.028598,2005,2,2005-01-31,2005-01-31,216.38392076,54.293895012,216.38392076,0.1013842485,0.0054272225,0.1005791487,-0.010585523,0.0709910696,0.1168443806,0.152004525,0.0793963747,-0.006871555,0.0410952991,-0.040643559,0.0103701703,0.0435474068,0.0033945764,0.1899867527,-0.045737413,-0.375790882,0.0007517404,1.4304591472,-0.109256281,-0.618072679,5.43353e-05,0.0,0.0159582023,0.0043230106,-0.003410631,0.0077336418,0.0171008771,0.0047235907,0.0123772864,0.1881644673,-0.172206265,-0.00167192,-0.027049545,0.1001608284,0.1002542142,0.0529301653,0.0742229276,0.0888228498,0.05679992,0.0317919306,0.0,0.0317919306,0.0059013432,0.1231701834,-0.166304922,-3.471041593,0.7787268509,0.3122701021,0.4271215754,0.567087163,,0.1425913248,,,,0.0239317382,0.021101216,0.0008798107,-0.033419845,-0.010442913,,,,,,0.1355461874,-0.058185404,0.1270827728,0.0532828197,-0.3831567,-2.211163015,-0.298523153,0.0700087158,0.1193011868,0.0706786508,0.0629861955,0.5363132213,0.0420107654,0.0588315085,-0.031343257,1.8538706065,,0.7318069337,0.4516456445,0.7652648049,7.0,-1.868529288,2.1212649445,113.2109995,-11.40009438,-0.219856375,0.0183986189,1.3069742929,0.7049975809,0.4010981147,0.2147349188,0.4841147328,0.073698278,0.0549069904,0.0244068148,0.1033754372,0.1033754372,,0.7040906101,0.0632988054,0.606875659,15.437938766,1.0716244172,,,0.4131682685,0.3708779826,0.00705844,118475.65850051,1.2771334,0.00055584,1.27345858,0.00790904,0.00827542,,0.01253051,-0.32203736,-0.09912281,0.69875062,,,,,0.01836814,0.02944006,0.01564836,0.0950447,0.49603034,0.01316693,0.68246741,0.91744589,0.67514738,0.9154217459,1.2132139068,529,0.2092457497,-0.228091699,0.1584916945,0.5702273165,,,,,,,,,,,,,,,
comp_001715_01C,2005-02-28,2005-02-28,1715,01C,CAN,0.013508,2005,2,2005-01-31,2005-01-31,129.45781837,16.041861012,129.45781837,0.003448315,-0.238319962,0.2765941645,0.0139265683,0.1692140666,0.1955649895,0.3322824635,0.4637731236,0.2256349364,0.6153556684,0.0799166137,0.0305905452,0.080145913,,0.1220121691,0.1799954681,1.2664752965,0.0044467782,-0.08578546,0.298414665,2.8801713332,5.57394e-05,0.0225445472,0.0,0.0011011112,0.0006419895,0.0004591217,0.1064815006,0.0775388285,0.0289426721,-0.002746219,0.0027462192,-0.006002147,0.0321062851,0.152632061,0.0630000716,0.0499362551,0.2092389557,0.1229018622,0.1272652064,-0.008456925,0.0,-0.008456925,-0.003184752,-0.131735363,-0.000438533,-0.018139658,0.3202910426,0.1912672328,0.2517044169,0.8338038917,,0.0113512342,0.2282851417,0.001826484,0.0,0.0329891703,0.0832952823,0.017088302,1.4784284418,0.0701780938,0.020323678,0.0040136104,-0.088898249,-0.014603025,,0.1794270607,0.0907928085,0.0218546644,0.06590514,-0.363944305,-3.365433072,0.23216263,0.0524557551,0.070686847,0.2497257843,0.056029086,1.4633643328,0.0275234955,0.0467515029,0.0031975043,5.0496388148,0.1239221092,0.2569929834,1.7663462476,0.5587214897,6.0,-3.317942492,0.7844443548,130.91025057,0.8809702411,-0.206279258,0.0106640323,4.5623778087,0.9035057706,0.4506651091,0.3988764901,1.0859313974,0.1110425417,0.1255725849,0.0130412534,0.0045843602,0.0045843602,,0.9310201937,0.1524780927,0.5412257816,13.794397982,0.7772806166,0.3242469705,0.0249064391,0.6979707354,0.5408554338,9.45926133,11668.17843514,2.7169082,0.00010714,2.83657212,10.76137389,11.34282435,0.01607108,0.01302933,-1.22097601,0.48780673,0.53160049,0.01261158,-0.20802865,0.01185649,-0.74292339,0.02125094,0.03336332,0.01679553,-0.54693707,2.84242319,0.02537649,0.28524697,0.97545607,0.10761278,0.3087270534,0.8276697109,493,0.0232045191,-0.410044476,-0.043094107,0.6523031364,,,,,,,,,,,,,,,
